"sample","n_dino_asvs_rarefied"
"SRR14698719",81
"SRR14698720",33
"SRR14698721",103
"SRR14698722",45
"SRR14698723",80
"SRR14698724",41
"SRR14698725",105
"SRR14698744",95
"SRR14698728",69
"SRR14698743",126
"SRR14698742",97
"SRR14698657",41
"SRR14698729",123
"SRR14698656",107
"SRR14698655",47
"SRR14698654",106
"SRR14698731",52
"SRR14698653",36
"SRR14698652",119
"SRR14698651",46
"SRR14698734",75
"SRR14698735",87
"SRR14698737",51
"SRR14698741",43
"SRR14698501",99
"SRR14698502",101
"SRR14698503",64
"SRR14698506",59
"SRR14698513",44
"SRR14698516",59
"SRR14698650",108
"SRR14698517",37
"SRR14698647",29
"SRR14698520",88
"SRR14698521",38
"SRR14698644",67
"SRR14698642",69
"SRR14698522",65
"SRR14698641",69
"SRR14698640",98
"SRR14698639",83
"SRR14698525",79
"SRR14698526",77
"SRR14698527",87
"SRR14698528",26
"SRR14698529",88
"SRR14698530",105
"SRR14698533",91
"SRR14698534",94
"SRR14698535",40
"SRR14698536",79
"SRR14698539",40
"SRR14698540",106
"SRR14698541",42
"SRR14698542",87
"SRR14698544",45
"SRR14698546",154
"SRR14698548",39
"SRR14698638",45
"SRR14698636",65
"SRR14698552",33
"SRR14698635",87
"SRR14698553",54
"SRR14698554",72
"SRR14698632",51
"SRR14698631",158
"SRR14698630",55
"SRR14698613",99
"SRR14698556",58
"SRR14698611",116
"SRR14698610",40
"SRR14698609",114
"ERR2044671",277
"ERR2044672",303
"ERR2044673",177
"ERR2044674",229
"ERR2044675",247
"ERR2044676",278
"ERR2044677",168
"ERR2044678",228
"ERR2044679",170
"ERR2112703",57
"ERR2112704",107
"ERR2112706",248
"ERR2112709",285
"ERR2112710",197
"ERR2112711",421
"ERR2112712",251
"ERR2112713",432
"ERR2112714",290
"ERR2172156",54
"ERR2172157",42
"ERR2172158",38
"ERR2172159",33
"ERR2172160",38
"ERR2172161",130
"ERR2172216",42
"ERR2172217",57
"ERR2172218",33
"ERR2172219",34
"ERR2172220",49
"ERR2172223",36
"ERR2172225",28
"ERR2172226",21
"ERR2172227",38
"ERR2172228",10
"ERR2172229",22
"ERR2172231",40
"ERR2172232",20
"ERR2172233",40
"ERR2172234",42
"ERR2172235",50
"ERR2172236",113
"ERR2172237",109
"ERR2172238",164
"ERR2172239",32
"ERR2172240",44
"ERR2172241",64
"ERR2172242",56
"ERR2172243",24
"ERR2172244",94
"ERR2172246",45
"ERR2172247",70
"ERR2172251",32
"ERR2172252",17
"ERR2172253",16
"ERR2212505",280
"ERR2212506",309
"ERR2212507",473
"ERR2212508",433
"ERR2212509",165
"ERR2212510",237
"ERR2212511",292
"ERR2212512",293
"ERR2212513",131
"ERR2212514",223
"ERR2212515",413
"ERR2212516",241
"ERR2212517",250
"ERR2212518",200
"ERR2212520",277
"ERR2212522",295
"ERR2212524",403
"ERR2212525",158
"ERR2212526",54
"ERR2212527",314
"ERR2212528",53
"ERR2212530",152
"ERR2212531",324
"ERR2212532",44
"ERR2212533",184
"ERR2212534",40
"ERR2212535",307
"ERR2212536",166
"ERR2212537",237
"ERR2212538",183
"ERR2212539",262
"ERR2212540",59
"ERR2212541",198
"ERR2212542",181
"ERR2212543",282
"ERR2212544",224
"ERR2212545",239
"ERR2212546",191
"ERR2212547",373
"ERR2212548",214
"ERR2212549",278
"ERR2212550",289
"ERR2212551",372
"ERR2212552",390
"ERR2212553",322
"ERR2212554",321
"ERR2212555",483
"ERR2212556",463
"ERR2220158",543
"ERR2220161",360
"ERR2220162",370
"ERR2220163",629
"ERR2220164",519
"ERR2220165",289
"ERR2220167",417
"ERR2220168",427
"ERR2220169",788
"ERR2220170",722
"ERR2220171",580
"ERR2220172",156
"ERR2220173",413
"ERR2220174",242
"ERR2220175",223
"ERR2220176",514
"ERR2220177",724
"ERR2220178",445
"ERR2220179",244
"ERR2220180",128
"ERR2220182",677
"ERR2220184",724
"ERR2220185",551
"ERR2220188",346
"ERR2220189",348
"ERR2220190",491
"ERR2220191",684
"ERR2220192",373
"ERR2220194",196
"ERR2220195",517
"ERR2220196",328
"ERR2220197",148
"ERR2220198",586
"ERR2220200",309
"ERR2220201",141
"ERR2220202",365
"ERR2220203",476
"ERR2220204",510
"ERR2220209",627
"ERR2220211",337
"ERR2220212",697
"ERR2220213",655
"ERR2220214",256
"ERR2220216",506
"ERR2220217",446
"ERR2220218",505
"ERR2220219",860
"ERR2220220",48
"ERR2220222",409
"ERR2220223",370
"ERR2220224",509
"ERR2220225",715
"ERR2220226",592
"ERR2220228",519
"ERR2220230",233
"ERR2220231",480
"ERR2220232",682
"ERR2220233",506
"ERR2220234",264
"ERR2220235",123
"ERR2220240",647
"ERR2220246",368
"ERR2220247",341
"ERR2220249",237
"ERR2220250",396
"ERR2220251",251
"ERR2220252",393
"ERR2220260",432
"ERR2220261",357
"ERR2220270",392
"ERR2220271",634
"ERR2220273",447
"ERR2220278",468
"ERR2220281",372
"ERR2220285",524
"ERR2220291",542
"ERR2220292",458
"ERR2220293",519
"ERR2220294",259
"ERR2220298",670
"ERR2220301",589
"ERR2220305",577
"ERR2220306",638
"ERR2220307",675
"ERR2220308",211
"ERR2220311",658
"ERR2220312",607
"ERR2220314",423
"ERR2220316",384
"ERR2220317",669
"ERR2220319",234
"ERR2220321",373
"ERR2220323",417
"ERR2220325",382
"ERR2220327",557
"ERR2220329",521
"ERR2220332",367
"ERR2220333",377
"ERR2220335",441
"ERR2220385",45
"ERR2220386",71
"ERR2220387",46
"ERR2220388",54
"ERR2220390",42
"ERR2220391",67
"ERR2220392",66
"ERR2220393",123
"ERR2220394",76
"ERR2220395",82
"ERR2220396",87
"ERR2220397",92
"ERR2220398",132
"ERR2220399",141
"ERR2220400",73
"ERR2220401",59
"ERR2220402",116
"ERR2220403",98
"ERR2220404",106
"ERR2220405",121
"ERR2220406",73
"ERR2220407",105
"ERR2220408",146
"ERR2220409",93
"ERR2220410",85
"ERR2220411",170
"ERR2220412",98
"ERR2220413",113
"ERR2220414",191
"ERR2220415",84
"ERR2220416",97
"ERR2220417",168
"ERR2220418",94
"ERR2220419",95
"ERR2220420",161
"ERR2220421",111
"ERR2220422",119
"ERR2220423",214
"ERR2220424",83
"ERR2220425",112
"ERR2220426",192
"ERR2220427",153
"ERR2220428",88
"ERR2220429",198
"ERR2220430",97
"ERR2220431",101
"ERR2220432",210
"ERR2220433",98
"ERR2220434",102
"ERR2220435",194
"ERR2220436",101
"ERR2220437",100
"ERR2220438",190
"ERR2220439",90
"ERR2220440",100
"ERR2220441",215
"ERR2220442",99
"ERR2220443",88
"ERR2220444",118
"ERR2220445",179
"ERR2220446",200
"ERR2220447",97
"ERR2220448",100
"ERR2220449",180
"ERR2220450",95
"ERR2220451",203
"ERR2220452",98
"ERR2220453",89
"ERR2220454",113
"ERR2220455",104
"ERR2220456",196
"ERR2220457",206
"ERR2220458",85
"ERR2220459",97
"ERR2220460",196
"ERR2220461",67
"ERR2220462",64
"ERR2220463",141
"ERR2220464",66
"ERR2220465",80
"ERR2220466",170
"ERR2220467",86
"ERR2220468",70
"ERR2220469",170
"ERR2220470",51
"ERR2220471",56
"ERR2220472",197
"ERR2220473",45
"ERR2220474",71
"ERR2220475",86
"ERR2220476",90
"ERR2220477",228
"ERR2220478",276
"ERR2220479",76
"ERR2220480",76
"ERR2220481",179
"ERR2220482",46
"ERR2220483",65
"ERR2220484",211
"ERR2220485",61
"ERR2220486",79
"ERR2220487",243
"ERR2220488",70
"ERR2220489",87
"ERR2220490",177
"ERR2220491",78
"ERR2220492",102
"ERR2220493",223
"ERR2220494",75
"ERR2220495",123
"ERR2220496",223
"ERR2220497",73
"ERR2220498",108
"ERR2220499",281
"ERR2220500",55
"ERR2220501",94
"ERR2220502",246
"ERR2220503",85
"ERR2220504",83
"ERR2220505",217
"ERR2220506",71
"ERR2220507",86
"ERR2220508",201
"ERR2220509",69
"ERR2220510",80
"ERR2220511",187
"ERR2220512",68
"ERR2220513",93
"ERR2220514",185
"ERR2220515",86
"ERR2220516",76
"ERR2220517",223
"ERR2220518",83
"ERR2220519",79
"ERR2220520",173
"ERR2220521",59
"ERR2220522",70
"ERR2220523",179
"ERR2220524",62
"ERR2220525",88
"ERR2220526",183
"ERR2220527",98
"ERR2220528",86
"ERR2220529",236
"ERR2220530",63
"ERR2220531",93
"ERR2220532",232
"ERR2220533",54
"ERR2220534",80
"ERR2220535",238
"ERR2220536",73
"ERR2220537",101
"ERR2220538",57
"ERR2220539",76
"ERR2220540",96
"ERR2220541",199
"ERR2220542",223
"ERR2220543",75
"ERR2220544",90
"ERR2220545",84
"ERR2220546",108
"ERR2220547",196
"ERR2220548",72
"ERR2220549",89
"ERR2220550",196
"ERR2220551",63
"ERR2220552",96
"ERR2220553",226
"ERR2220554",122
"ERR2220555",125
"ERR2220556",164
"ERR2220557",136
"ERR2220558",140
"ERR2220559",136
"ERR2220560",175
"ERR2220561",165
"ERR2220562",163
"ERR2220563",128
"ERR2220564",120
"ERR2220565",106
"ERR2220566",135
"ERR2220567",141
"ERR2220568",113
"ERR2220569",140
"ERR2220570",192
"ERR2220571",115
"ERR2220572",122
"ERR2220573",150
"ERR2223219",642
"ERR2223220",609
"ERR2223221",770
"ERR2223222",772
"ERR2223223",686
"ERR2223224",350
"ERR2223225",636
"ERR2223226",583
"ERR2223227",595
"ERR2223228",547
"ERR2223231",592
"ERR2223232",654
"ERR2223233",648
"ERR2223234",662
"ERR2223235",268
"ERR2223236",686
"ERR2223237",562
"ERR2223238",588
"ERR2223240",459
"ERR2223242",56
"ERR2223243",526
"ERR2223244",424
"ERR2223245",558
"ERR2223246",496
"ERR2223247",152
"ERR2223248",264
"ERR2223249",491
"ERR2223250",395
"ERR2223251",366
"ERR2223252",298
"ERR2223253",260
"ERR2223255",571
"ERR2223256",538
"ERR2223257",600
"ERR2223258",529
"ERR2223259",454
"ERR2223260",594
"ERR2223261",162
"ERR2223263",220
"ERR2223264",366
"ERR2223265",600
"ERR2223266",458
"ERR2223267",565
"ERR2223269",531
"ERR2223271",550
"ERR2223272",640
"ERR2223273",623
"ERR2223274",264
"ERR2223275",556
"ERR2223276",514
"ERR2223277",511
"ERR2223278",565
"ERR2223281",551
"ERR2223282",568
"ERR2223283",379
"ERR2223284",464
"ERR2223285",487
"ERR2223287",638
"ERR2223288",538
"ERR2223290",734
"ERR2223291",656
"ERR2223292",713
"ERR2223293",789
"ERR2223294",697
"ERR2223295",659
"ERR2223296",222
"ERR2223297",682
"ERR2223298",451
"ERR2223299",451
"ERR2223300",662
"ERR2223301",634
"ERR2223302",473
"ERR2223303",721
"ERR2223304",624
"ERR2223305",566
"ERR2223306",669
"ERR2223307",687
"ERR2223308",558
"ERR2223309",579
"ERR2223310",530
"ERR2223311",685
"ERR2223312",646
"ERR2223315",638
"ERR2223316",549
"ERR2223318",424
"ERR2223319",516
"ERR2223320",552
"ERR2223321",446
"ERR2223322",225
"ERR2223323",378
"ERR2223324",596
"ERR2223325",593
"ERR2223327",565
"ERR2223328",432
"ERR2223329",539
"ERR2223330",438
"ERR2223331",810
"ERR2223332",525
"ERR2223333",765
"ERR2223334",167
"ERR2223335",531
"ERR2223337",629
"ERR2223338",619
"ERR2223339",635
"ERR2223340",558
"ERR2223341",561
"ERR2223342",601
"ERR2225533",38
"ERR2225535",46
"ERR2225536",47
"ERR2225537",37
"ERR2225539",45
"ERR2225544",46
"ERR2225545",56
"ERR2225548",47
"ERR2225549",42
"ERR2225551",69
"ERR2225557",52
"ERR2225577",39
"ERR2225578",55
"ERR2225580",30
"ERR2225581",45
"ERR2225584",41
"ERR2225585",38
"ERR2225586",37
"ERR2225587",52
"ERR2225589",44
"ERR2225590",53
"ERR2225591",33
"ERR2225593",36
"ERR2225601",41
"ERR2225602",53
"ERR2225603",41
"ERR2225608",66
"ERR2225609",65
"ERR2226619",216
"ERR2226620",401
"ERR2226621",213
"ERR2226622",285
"ERR2226623",330
"ERR2226624",255
"ERR2226627",356
"ERR2226628",93
"ERR2226630",437
"ERR2226631",217
"ERR2226633",289
"ERR2226634",296
"ERR2226635",38
"ERR2226637",169
"ERR2226638",158
"ERR2226639",65
"ERR2226640",205
"ERR2226641",176
"ERR2226642",111
"ERR2226643",273
"ERR2226644",256
"ERR2226645",126
"ERR2226647",256
"ERR2226648",158
"ERR2226649",387
"ERR2226652",425
"ERR2226653",441
"ERR2226655",304
"ERR2226656",403
"ERR2226658",448
"ERR2226661",359
"ERR2226662",363
"ERR2226663",129
"ERR2226665",311
"ERR2226667",45
"ERR2226668",200
"ERR2226670",90
"ERR2226671",64
"ERR2226672",226
"ERR2226673",218
"ERR2226674",161
"ERR2226676",295
"ERR2226677",310
"ERR2226678",74
"ERR2226679",281
"ERR2226681",22
"ERR2226682",91
"ERR2226683",426
"ERR2226684",454
"ERR2226685",153
"ERR2226686",423
"ERR2226687",367
"ERR2226688",498
"ERR2226689",396
"ERR2226690",395
"ERR2226694",219
"ERR2226696",190
"ERR2226699",372
"ERR2226701",63
"ERR2226702",210
"ERR2226703",194
"ERR2226705",211
"ERR2226707",187
"ERR2226708",201
"ERR2226709",273
"ERR2226711",270
"ERR2226712",232
"ERR2226713",24
"ERR2226714",177
"ERR2226716",202
"ERR2226717",277
"ERR2226718",273
"ERR2226719",263
"ERR2226720",401
"ERR2226722",14
"ERR2226723",379
"ERR2226724",340
"ERR2226726",496
"ERR2226727",414
"ERR2226728",351
"ERR2226729",360
"ERR2226731",401
"ERR2226732",291
"ERR2226733",255
"ERR2226734",168
"ERR2226735",211
"ERR2226736",173
"ERR2226737",201
"ERR2226738",211
"ERR2226739",356
"ERR2226740",245
"ERR2226741",242
"ERR2226742",298
"ERR2226743",305
"ERR2226744",62
"ERR2226745",121
"ERR2226746",450
"ERR2226747",351
"ERR2226748",449
"ERR2226749",602
"ERR2226750",55
"ERR2226751",408
"ERR2226753",394
"ERR2226754",421
"ERR2226756",284
"ERR2226757",223
"ERR2226761",116
"ERR2226762",176
"ERR2226763",159
"ERR2226765",197
"ERR2226766",182
"ERR2226767",134
"ERR2226770",289
"ERR2226771",268
"ERR2226772",266
"ERR2226774",218
"ERR2226775",213
"ERR2226777",288
"ERR2226778",274
"ERR2226779",410
"ERR2226780",496
"ERR2226781",404
"ERR2226782",652
"ERR2226783",547
"ERR2226784",543
"ERR2226785",398
"ERR2226786",501
"ERR2226787",436
"ERR2226789",466
"ERR2226790",472
"ERR2226792",232
"ERR2226793",233
"ERR2226794",194
"ERR2226795",259
"ERR2226796",254
"ERR2226797",61
"ERR2226801",228
"ERR2226802",247
"ERR2226804",197
"ERR2226805",225
"ERR2226807",242
"ERR2226808",241
"ERR2226809",197
"ERR2226810",296
"ERR2226811",60
"ERR2226812",308
"ERR2226813",188
"ERR2226814",132
"ERR2226819",445
"ERR2226820",433
"ERR2226821",229
"ERR2226822",604
"ERR2226823",588
"ERR2226824",294
"ERR2226825",490
"ERR2226826",456
"ERR2226827",159
"ERR2226828",386
"ERR2226829",367
"ERR2226830",155
"ERR2226831",242
"ERR2226832",218
"ERR2226833",115
"ERR2226834",125
"ERR2226835",97
"ERR2226837",183
"ERR2226839",65
"ERR2226841",53
"ERR2226843",116
"ERR2226846",164
"ERR2226847",116
"ERR2226849",160
"ERR2226850",254
"ERR2226852",246
"ERR2226855",212
"ERR2226857",438
"ERR2226858",23
"ERR2226860",119
"ERR2226862",128
"ERR2226865",124
"ERR2226866",123
"ERR2226867",273
"ERR2226868",154
"ERR2226871",124
"ERR2226872",342
"ERR2226873",481
"ERR2226874",419
"ERR2226875",403
"ERR2226876",448
"ERR2226878",122
"ERR2226879",196
"ERR2226881",296
"ERR2226882",271
"ERR2226885",304
"ERR2226886",249
"ERR2226887",66
"ERR2226888",53
"ERR2226889",51
"ERR2226891",40
"ERR2226893",243
"ERR2226894",70
"ERR2226895",60
"ERR2226896",143
"ERR2226897",58
"ERR2226898",47
"ERR2226899",235
"ERR2226900",77
"ERR2226901",57
"ERR2226902",274
"ERR2226903",197
"ERR2226904",88
"ERR2226905",160
"ERR2226906",196
"ERR2226908",238
"ERR2226909",457
"ERR2226910",421
"ERR2226912",447
"ERR2226913",446
"ERR2228380",107
"ERR2228388",90
"ERR2228392",120
"ERR2228393",159
"ERR2228396",170
"ERR2228397",150
"ERR2228400",164
"ERR2228401",170
"ERR2228404",135
"ERR2228408",106
"ERR2228409",120
"ERR2228412",106
"ERR2228420",164
"ERR2228421",188
"ERR2228424",142
"ERR2228425",168
"ERR2228429",176
"ERR2228432",174
"ERR2228433",127
"ERR2228436",153
"ERR2228437",113
"ERR2228440",156
"ERR2228447",120
"ERR2228451",102
"ERR2228455",112
"ERR2228456",122
"ERR2228459",86
"ERR2228463",112
"ERR2228464",167
"ERR2228467",154
"ERR2228468",163
"ERR2228471",150
"ERR2228472",164
"ERR2228475",129
"ERR2228479",117
"ERR2228480",123
"ERR2228483",118
"ERR2228491",164
"ERR2228492",193
"ERR2228495",142
"ERR2228496",167
"ERR2228500",186
"ERR2228503",171
"ERR2228504",126
"ERR2228507",160
"ERR2228508",118
"ERR2228511",165
"ERR2228527",10
"ERR2228552",74
"ERR2228553",58
"ERR2230177",163
"ERR2230178",243
"ERR2230179",74
"ERR2230180",158
"ERR2230181",165
"ERR2230182",219
"ERR2230183",221
"ERR2230184",118
"ERR2230185",116
"ERR2230186",112
"ERR2230187",48
"ERR2230188",143
"ERR2230189",110
"ERR2230191",162
"ERR2230197",252
"ERR2230198",275
"ERR2230199",188
"ERR2230200",201
"ERR2230201",183
"ERR2230202",225
"ERR2230203",170
"ERR2230204",155
"ERR2230205",119
"ERR2230208",168
"ERR2230210",125
"ERR2230211",50
"ERR2230213",33
"ERR2230214",24
"ERR2230326",13
"ERR2230339",47
"ERR2230349",15
"ERR2230350",14
"ERR2230352",8
"ERR2230353",14
"ERR2230354",49
"ERR2230356",19
"ERR2230358",36
"ERR2230432",22
"ERR2230529",23
"ERR2230895",195
"ERR2230896",156
"ERR2231754",650
"ERR2231755",618
"ERR2231756",718
"ERR2231757",820
"ERR2231758",521
"ERR2231759",564
"ERR2231760",582
"ERR2231761",561
"ERR2231762",627
"ERR2231763",600
"ERR2231764",733
"ERR2231765",766
"ERR2231766",663
"ERR2231767",570
"ERR2231768",698
"ERR2231769",710
"ERR2231770",614
"ERR2231771",644
"ERR2231772",764
"ERR2231773",707
"ERR2231774",606
"ERR2231775",581
"ERR2231776",733
"ERR2231777",723
"ERR2232135",45
"ERR2232137",42
"ERR2232138",30
"ERR2232139",34
"ERR2232141",193
"ERR2232142",200
"ERR2232143",217
"ERR2232150",32
"ERR2232151",38
"ERR2232152",46
"ERR2232162",260
"ERR2232163",214
"ERR2232164",257
"ERR2232172",61
"ERR2232173",171
"ERR2232174",176
"ERR2232175",163
"ERR2232176",150
"ERR2232178",193
"ERR2232194",32
"ERR2232195",31
"ERR2232196",38
"ERR2232456",196
"ERR2232457",482
"ERR2232458",689
"ERR2232459",450
"ERR2232460",483
"ERR2232461",615
"ERR2232462",338
"ERR2232463",417
"ERR2232464",474
"ERR2232465",253
"ERR2232466",322
"ERR2232467",533
"ERR2232468",439
"ERR2232469",329
"ERR2232470",348
"ERR2232471",345
"ERR2232472",403
"ERR2232473",421
"ERR2232474",519
"ERR2232475",328
"ERR2235884",165
"ERR2235886",213
"ERR2235888",184
"ERR2235890",285
"ERR2235892",248
"ERR2235894",342
"ERR2235895",257
"ERR2235896",265
"ERR2235897",264
"ERR2235898",385
"ERR2235899",294
"ERR2235900",370
"ERR2235901",331
"ERR2235902",368
"ERR2235903",378
"ERR2235904",343
"ERR2235905",267
"ERR2235906",377
"ERR2235907",395
"ERR2235908",349
"ERR2235909",274
"ERR2235910",374
"ERR2235911",382
"ERR2235912",237
"ERR2235913",161
"ERR2235914",365
"ERR2235915",176
"ERR2235916",133
"ERR2235920",153
"ERR2235922",202
"ERR2235924",235
"ERR2235926",340
"ERR2235927",228
"ERR2235928",335
"ERR2235929",278
"ERR2235930",340
"ERR2235931",329
"ERR2235932",91
"ERR2235933",155
"ERR2235934",128
"ERR2235936",130
"ERR2235940",213
"ERR2235941",224
"ERR2235942",308
"ERR2235943",223
"ERR2235944",323
"ERR2235945",271
"ERR2235946",371
"ERR2235947",336
"ERR2235948",134
"ERR2235952",124
"ERR2235954",112
"ERR2235956",276
"ERR2235957",227
"ERR2235958",273
"ERR2235959",231
"ERR2235960",191
"ERR2235961",248
"ERR2235962",273
"ERR2235963",250
"ERR2235964",204
"ERR2235965",212
"ERR2235966",266
"ERR2235967",231
"ERR2235968",123
"ERR2235969",185
"ERR2235970",144
"ERR2235972",136
"ERR2235973",196
"ERR2235974",168
"ERR2235975",173
"ERR2235976",168
"ERR2235977",203
"ERR2235978",201
"ERR2235979",217
"ERR2235980",209
"ERR2235981",288
"ERR2235982",263
"ERR2235983",273
"ERR2235984",129
"ERR2235985",266
"ERR2235986",337
"ERR2235987",324
"ERR2235988",141
"ERR2235992",119
"ERR2235994",159
"ERR2235995",161
"ERR2235996",84
"ERR2235997",161
"ERR2235998",137
"ERR2236000",173
"ERR2236001",220
"ERR2236002",239
"ERR2236003",220
"ERR2236004",196
"ERR2236005",203
"ERR2236006",262
"ERR2236007",218
"ERR2236008",120
"ERR2236009",237
"ERR2236010",294
"ERR2236011",245
"ERR2236012",181
"ERR2236013",220
"ERR2236014",230
"ERR2236015",242
"ERR2236016",182
"ERR2236017",214
"ERR2236018",326
"ERR2236019",191
"ERR2236020",90
"ERR2236021",165
"ERR2236022",138
"ERR2236024",109
"ERR2236025",112
"ERR2236026",130
"ERR2236028",157
"ERR2236030",182
"ERR2236032",126
"ERR2236033",193
"ERR2236034",202
"ERR2236035",172
"ERR2236036",88
"ERR2236037",225
"ERR2236038",200
"ERR2236039",177
"ERR2236040",123
"ERR2236041",286
"ERR2236042",288
"ERR2236044",100
"ERR2236045",253
"ERR2236046",258
"ERR2236047",301
"ERR2236048",86
"ERR2236049",247
"ERR2236050",225
"ERR2236051",142
"ERR2236052",145
"ERR2236053",154
"ERR2236054",167
"ERR2236055",87
"ERR2236056",162
"ERR2236057",144
"ERR2236058",128
"ERR2236059",295
"ERR2236060",264
"ERR2236061",145
"ERR2236062",92
"ERR2236063",119
"ERR2236064",67
"ERR2236065",111
"ERR2236066",152
"ERR2236067",115
"ERR2236068",106
"ERR2236069",245
"ERR2236070",284
"ERR2236071",276
"ERR2236072",85
"ERR2236073",134
"ERR2236074",109
"ERR2236075",105
"ERR2236076",173
"ERR2236077",277
"ERR2236078",217
"ERR2236079",227
"ERR2236080",104
"ERR2236081",161
"ERR2236082",125
"ERR2236083",152
"ERR2236084",196
"ERR2236085",271
"ERR2236086",272
"ERR2236087",251
"ERR2236088",210
"ERR2236089",378
"ERR2236090",339
"ERR2236091",307
"ERR2236092",184
"ERR2236093",241
"ERR2236094",241
"ERR2236095",208
"ERR2236096",188
"ERR2236097",392
"ERR2236098",330
"ERR2236099",263
"ERR2236100",144
"ERR2236101",158
"ERR2236102",140
"ERR2236103",170
"ERR2236104",82
"ERR2236105",117
"ERR2236106",109
"ERR2236107",106
"ERR2236108",104
"ERR2236109",136
"ERR2236110",147
"ERR2236111",161
"ERR2236112",101
"ERR2236113",167
"ERR2236114",165
"ERR2236115",144
"ERR2236116",174
"ERR2236117",297
"ERR2236118",187
"ERR2236119",219
"ERR2236120",70
"ERR2236121",79
"ERR2236122",131
"ERR2236123",111
"ERR2236124",381
"ERR2236125",221
"ERR2236126",218
"ERR2236127",62
"ERR2236128",129
"ERR2236129",153
"ERR2236130",127
"ERR2238563",209
"ERR2238564",650
"ERR2238565",642
"ERR2238566",474
"ERR2238567",677
"ERR2247273",15
"ERR2247274",17
"ERR2247275",12
"ERR2247278",14
"ERR2247287",16
"ERR2247290",15
"ERR2247291",15
"ERR2247293",16
"ERR2247294",14
"ERR2247484",118
"ERR2247485",52
"ERR2247486",121
"ERR2247487",104
"ERR2247488",81
"ERR2247489",107
"ERR2247490",53
"ERR2247491",119
"ERR2247492",100
"ERR2247493",90
"ERR2248397",163
"ERR2248398",20
"ERR2248399",4
"ERR2248428",424
"ERR2248432",105
"ERR2248482",74
"ERR2248483",145
"ERR2248484",182
"ERR2248485",177
"ERR2248486",100
"ERR2248487",58
"ERR2248488",29
"ERR2248489",61
"ERR2249701",46
"ERR2249707",21
"ERR2249711",47
"ERR2249712",66
"ERR2261817",8
"ERR2269936",320
"ERR2269937",245
"ERR2269938",143
"ERR2269939",227
"ERR2269940",368
"ERR2269941",258
"ERR2269942",483
"ERR2269943",754
"ERR2270821",136
"ERR2270822",124
"ERR2276462",24
"ERR2276463",36
"ERR2286745",234
"ERR2286746",254
"ERR2286747",235
"ERR2286748",224
"ERR2286749",236
"ERR2286750",240
"ERR2287519",46
"ERR2287520",186
"ERR2287524",138
"ERR2287525",187
"ERR2287526",192
"ERR2287527",165
"ERR2287528",185
"ERR2287529",222
"ERR2287530",179
"ERR2287658",204
"ERR2287659",228
"ERR2287660",239
"ERR2298163",51
"ERR2298169",21
"ERR2304213",49
"ERR2304214",106
"ERR2304215",113
"ERR2304217",83
"ERR2304218",106
"ERR2304219",192
"ERR2304220",128
"ERR2304222",74
"ERR2304224",16
"ERR2304225",104
"ERR2304227",120
"ERR2304228",104
"ERR2304229",61
"ERR2304230",141
"ERR2304231",115
"ERR2304233",113
"ERR2304234",114
"ERR2304235",111
"ERR2304236",116
"ERR2304238",95
"ERR2304239",73
"ERR2304241",87
"ERR2306820",89
"ERR2306843",91
"ERR2307984",21
"ERR2307991",27
"ERR2307992",37
"ERR2322055",86
"ERR2322056",55
"ERR2322058",94
"ERR2322059",110
"ERR2322060",103
"ERR2322061",90
"ERR2322062",106
"ERR2322063",79
"ERR2322064",104
"ERR2322065",102
"ERR2322066",110
"ERR2322067",86
"ERR2322068",108
"ERR2322069",74
"ERR2322070",63
"ERR2322072",52
"ERR2322073",69
"ERR2322074",85
"ERR2322075",34
"ERR2322076",31
"ERR2322077",50
"ERR2322078",46
"ERR2322079",29
"ERR2322082",28
"ERR2322083",41
"ERR2322084",60
"ERR2322086",39
"ERR2322087",43
"ERR2322088",29
"ERR2322089",67
"ERR2322090",34
"ERR2322091",29
"ERR2322092",53
"ERR2322093",40
"ERR2322094",25
"ERR2322095",70
"ERR2322098",40
"ERR2322099",58
"ERR2322100",35
"ERR2322101",45
"ERR2322103",91
"ERR2322104",33
"ERR2322105",36
"ERR2322106",61
"ERR2322107",50
"ERR2322111",23
"ERR2322112",31
"ERR2322113",50
"ERR2322114",43
"ERR2322115",35
"ERR2322117",35
"ERR2322119",31
"ERR2322120",34
"ERR2322121",39
"ERR2322122",52
"ERR2322124",41
"ERR2322125",38
"ERR2322126",37
"ERR2322127",54
"ERR2322128",90
"ERR2322129",58
"ERR2322130",62
"ERR2322131",54
"ERR2322132",72
"ERR2322133",68
"ERR2322134",85
"ERR2338145",64
"ERR2338146",24
"ERR2338147",52
"ERR2338148",27
"ERR2338150",50
"ERR2338151",20
"ERR2338152",39
"ERR2338153",52
"ERR2338154",23
"ERR2338155",50
"ERR2338157",16
"ERR2338158",22
"ERR2338159",50
"ERR2338160",31
"ERR2338161",25
"ERR2338162",26
"ERR2338163",27
"ERR2338164",30
"ERR2338165",45
"ERR2338166",57
"ERR2338167",28
"ERR2338168",39
"ERR2338169",52
"ERR2338170",37
"ERR2338171",30
"ERR2338172",23
"ERR2338173",33
"ERR2338174",67
"ERR2338175",43
"ERR2338176",59
"ERR2338178",77
"ERR2338179",103
"ERR2338180",43
"ERR2338181",55
"ERR2338182",56
"ERR2338183",60
"ERR2338184",71
"ERR2338185",51
"ERR2338186",85
"ERR2338187",66
"ERR2338188",128
"ERR2338189",34
"ERR2338190",24
"ERR2338191",29
