"sample","n_dino_asvs_rarefied"
"ERR4227219",659
"ERR4227224",749
"ERR10234589",652
"ERR10234590",518
"ERR10234591",814
"ERR10234592",817
"ERR10234593",682
"ERR10234594",782
"ERR10234595",783
"ERR10234596",747
"ERR10234597",737
"ERR10234598",624
"ERR10234599",605
"ERR4227158",686
"ERR4227159",642
"ERR4227165",691
"ERR4227166",676
"ERR10234600",832
"ERR10234601",801
"ERR4227162",260
"ERR4227163",263
"ERR4227154",679
"ERR4227155",663
"ERR10234602",824
"ERR10234603",815
"ERR4227164",730
"ERR4227187",203
"ERR4227188",182
"ERR4227167",161
"ERR4227168",172
"ERR4227160",568
"ERR4227161",593
"ERR10234604",636
"ERR10234605",658
"ERR4227228",617
"ERR4227229",627
"ERR10234606",901
"ERR10234607",880
"ERR4227191",766
"ERR4227192",742
"ERR4227179",603
"ERR4227180",606
"ERR4227156",763
"ERR4227157",802
"ERR4227171",98
"ERR4227172",103
"ERR10234610",149
"ERR10234611",142
"ERR4227169",125
"ERR4227170",117
"ERR4227173",121
"ERR4227174",135
"ERR4227175",217
"ERR4227176",211
"ERR10234612",824
"ERR10234613",813
"ERR4227177",713
"ERR4227178",733
"ERR4227181",609
"ERR4227182",648
"ERR4227193",809
"ERR4227194",824
"ERR4227238",594
"ERR4227239",600
"ERR10234614",752
"ERR10234615",759
"ERR10234616",1034
"ERR10234617",1045
"ERR4227240",795
"ERR4227241",803
"ERR4227242",558
"ERR4227243",548
"ERR4227246",566
"ERR4227247",555
"ERR10234618",815
"ERR10234619",835
"ERR4227250",858
"ERR4227251",869
"ERR4227183",206
"ERR4227184",210
"ERR4227236",590
"ERR4227237",554
"ERR4227244",665
"ERR4227245",669
"ERR4227248",711
"ERR4227249",724
"ERR4227252",846
"ERR4227253",824
"ERR4227256",641
"ERR4227257",635
"ERR4227254",552
"ERR4227255",551
"ERR4227214",662
"ERR4227215",730
"ERR4227216",754
"ERR4227217",678
"ERR4227218",666
"ERR10234620",678
"ERR10234621",701
"ERR10234622",811
"ERR10234623",783
"ERR4227232",648
"ERR4227233",675
"ERR4227230",658
"ERR4227231",664
"ERR10234624",623
"ERR10234625",639
"ERR4227234",563
"ERR4227235",556
"ERR10234626",579
"ERR10234627",618
"ERR10234628",591
"ERR10234629",576
"ERR10234630",542
"ERR10234631",567
"ERR10234632",638
"ERR10234633",637
"ERR10234634",626
"ERR10234635",610
"ERR4227185",230
"ERR4227186",248
"ERR4227189",651
"ERR4227190",654
"ERR10234636",1086
"ERR10234637",1057
"ERR10234638",201
"ERR10234639",519
"ERR10234640",610
"ERR10234641",191
"ERR10234642",628
"ERR10234643",610
"ERR10234644",638
"ERR10234645",554
"ERR10234646",342
"ERR10234647",632
"ERR10234648",636
"ERR10234649",722
"ERR10234650",884
"ERR10234651",222
"ERR10234652",596
"ERR10234653",479
"ERR10234654",915
"ERR10234655",667
"ERR10234656",620
"ERR10234657",553
"ERR10234658",487
"ERR10234659",473
"ERR10234660",586
"ERR10234661",599
"ERR10234662",535
"ERR10234663",635
"ERR10234664",588
"ERR10234665",413
"ERR10234666",809
"ERR10234667",583
"ERR10234668",445
"ERR10234669",153
"ERR10234670",81
"ERR10234671",190
"ERR10234672",169
"ERR10234673",157
"ERR10234674",287
"ERR10234675",175
"ERR10234676",121
"ERR10234677",123
"ERR10234678",447
"ERR10234679",290
"ERR10234680",421
"ERR10234681",359
"ERR10234682",257
"ERR10234683",428
"ERR10234684",389
"ERR10234685",452
"ERR10234686",751
"ERR10234687",340
"ERR10234688",444
"ERR10234689",368
"ERR10234690",407
"ERR10234691",345
"ERR10234692",372
"ERR10234693",477
"ERR10234694",307
"ERR10234695",361
"ERR10234696",530
"ERR10234697",513
"ERR10234698",400
"ERR10234699",409
"ERR10234700",511
"ERR10234701",380
"ERR10234702",453
"ERR10234703",281
"ERR10234704",569
"ERR10234705",377
"ERR10234706",494
"ERR10234707",408
"ERR10234708",476
"ERR10234709",493
"ERR10234710",347
"ERR10234711",426
"ERR10234712",230
"ERR10234713",364
"ERR10234714",364
"ERR10234715",430
"ERR10234716",497
"ERR10234717",243
"ERR10234718",416
"ERR10234719",329
"ERR10234720",404
"ERR10234721",351
"ERR10234722",277
"ERR10234723",360
"ERR10234724",349
"ERR10234725",314
"ERR10234726",331
"ERR10234727",264
"ERR10234728",239
"ERR10234729",298
"ERR10234730",283
"ERR10234731",347
"ERR10234732",277
"ERR10234733",267
"ERR10234734",352
"ERR10234735",312
"ERR10234736",365
"ERR10234737",350
"ERR10234738",298
"ERR10234739",268
"ERR10234740",204
"ERR10234741",376
"ERR10234742",322
"ERR10234743",291
